"Incident Number","Day and Month Reported","Year Reported","Police Shift","Offense Code","Offense Type","Offense Definition","Offense Sub-Category","Offense Category","Block Code","Ward"
"25054700","9/4","2025","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173512031003","2              "
"23058540","10/11","2023","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061004","1              "
"17007485","2/5","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501071010","1              "
"17008239","2/9","2017","Last Half (Midnight - 8AM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501051013","4              "
"17013302","3/3","2017","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501071021","1              "
"17014780","3/10","2017","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173510012004","2              "
"17021440","4/12","2017","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173506003001","7              "
"17022560","4/17","2017","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173506003007","7              "
"17032503","6/1","2017","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501091019","4              "
"17035831","6/15","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173509003008","6              "
"17036401","6/17","2017","First Half (4PM - Midnight)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173515001007","2              "
"17040152","7/3","2017","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173509003017","6              "
"17041423","7/9","2017","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003008","6              "
"17043586","7/18","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061016","1              "
"17053066","8/28","2017","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173502022001","4              "
"17054472","9/3","2017","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173515004004","1              "
"17055082","9/6","2017","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173504002000","5              "
"17056291","9/11","2017","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173510013009","2              "
"17058155","9/19","2017","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061015","1              "
"17061530","10/4","2017","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173515003003","2              "
