incident_number,Day and Month Reported,Year Reported,Police Shift,Offense Code,Offense Type,Offense Definition,Offense Sub-Category,Offense Category,Block Code,Ward,Source,Date,Time,Type,Description,latitude,longitude
22009292,2/23,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512042010,2              ,March 28th 2022 - December 20th 2021 Crime News,2/23/22,9:48 AM,Commercial B&E,"Somerville Police responded to a business in the area of Somerville Ave & Kilby St for report of a past breaking and entering. Upon arrival, officers spoke with the reporting person who stated cash and an iPad were stolen",42.380544251907125,-71.09909615446182
22027729,5/18,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173514034003,1              ,August 1st 2022 - April 5th 2022 Crime News,5/18/22,11:30 PM,Arrest,"Somerville Police responded to the area of Broadway & Autumn St after the victim reported a male party pulled a knife on him. Upon arrival, officers spoke with the victim who stated he was in a nearby restaurant then proceeded to walk home. Once he was outside his home, he was approached a male party who brandished a knife then threatened to kill him. Officers located the male suspect nearby and he was placed under arrest.",42.38830620170238,-71.08686831526276
22052913,9/17,2022,Day Shift (8AM - 4PM),23D,Theft From Building,The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.,Larceny/Theft Offenses,Crimes against Property,250173515002013,2              ,October 3rd 2022 - August 2nd 2022 Crime News,9/17/22,1:13 PM,Residential Breaking & Entering,"Somerville Police responded to Medford St or a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated the back door of the building was forced open and two bikes",42.37451379719068,-71.08885727287459
23005547,2/1,2023,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173507023003,7              ,April 3rd 2023 - January 3rd 2023 Crime News,2/1/23,9:12 AM,Residential Breaking & Entering,a male party called the station and reported his bike was stolen from the front hallway of his residence on Sterling St.,42.41055871070426,-71.1297521165264
23032033,6/9,2023,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512031000,2              ,July 31st 2023 - April 4th 2023 Crime News,6/9/23,9:30 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Marion St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke into her apartment and stole her",42.37805545550647,-71.10260456130312
23041910,7/25,2023,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173507013003,7              ,July 31st 2023 - April 4th 2023 Crime News,7/25/23,,Assault,"Somerville Police took a report from a male party who stated on 7/21/23, his boss pointed a firearm at his head. The victim stated he works for an electrical company. He then stated that he made a mistake at work and his boss pulled out a handgun and held it against his head. Officers identified the suspect.",42.402610469355686,-71.13058501988746
23073519,12/21,2023,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501061016,1              ,January 1st 2024 - October 3rd 2023 Crime News,12/21/23,10:58 PM,Residential Breaking and Entering,"Somerville Police responded to an apartment complex on Great River Rd for report of a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated earlier in the day, she went to check on her step-fathers apartment and she heard multiple people inside. She then left the area. Officers entered the apartment and observed it in disarray and damaged",42.395503039719635,-71.08039002773805
23075255,12/31,2023,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512042001,2              ,January 1st 2024 - October 3rd 2023 Crime News,12/31/23,7:25 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Knapp St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated she went out and when she returned to her apartment, observed a male party inside. The suspect then fled out the back door. A speaker was",42.38308870714686,-71.10216106617774
24003315,1/19,2024,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173511021000,3              ,April 1st 2024 - January 2nd 2024 Crime News,1/19/24,9:01 AM,Residential Breaking and Entering,"Somerville Police responded to a residence on Summer St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated he was reviewing surveillance footage and observed a male party enter the residence and steal several tools and Nintendo game systems.",42.385941707898404,-71.1062007994524
24010460,2/24,2024,Day Shift (8AM - 4PM),23F,Theft From Motor Vehicle,"The unlawful taking of articles from a motor vehicle, locked or unlocked.",Theft From Motor Vehicle,Crimes against Property,250173501061014,1              ,April 1st 2024 - January 2nd 2024 Crime News,2/24/24,2:03 PM,Arrest,"Somerville Police responded to Assembly Row for a suspicious male attempting to break into vehicles. Upon arrival, officers located the male party based on a witness description. Officers then searched the suspect and found him in possession of a knife as well as numerous stolen items that were taken out of several vehicles in the area. Officers then placed the male suspect",42.3945624256793,-71.08278355879614
