Source,Case Number,Date,Time,Type,Description
"Crime Log June 10 to June 16, 2025",25032638,6/11/25,2:06 PM,Assault,"Somerville Police responded to Statue Park for an assault. Upon arrival, officer spoke with the victim who stated he was sitting on a bench and was punched in the face."
"Crime Log June 10 to June 16, 2025",25033851,6/16/25,9:10 PM,Assault,"Somerville Police responded to Perkins St for a check condition. Upon arrival, officers spoke with the victim who stated he was walking home and was sprayed with mace by an individual known to him."
"Crime Log June 10 to June 16, 2025",25033689,6/16/25,9:41 AM,Assault,"Somerville Police responded to Hudson St for a road rage incident. Upon arrival, officers spoke with the victim who stated he was involved in a traffic altercation with a male party. During the altercation, the male party began punching the victim then tried to drive off while the victim was on his vehicle. The victim suffered injuries to his leg and neck. Officers identified the suspect."
"Crime Log May 6 to May 12, 2025",25025533,5/8/25,9:36 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on North St for a past breaking and entering. Upon arrival, officers spoke with the reporting party who stated a group of teenagers broke into the basement and were smoking marijuana. Nothing was reported stolen."
"Crime Log May 6 to May 12, 2025",25025203,5/7/25,6:33 PM,Arrest,"Somerville Police responded to the area of Cross St & Chester St for a check condition. Upon arrival, officers spoke with a witness who stated a male party was acting erratically and kicking people on bicycles. He then approached two other individuals and punched one of them then threatened to kill him. Officers were able to locate the male suspect nearby and he was placed under arrest."
"Crime Log May 6 to May 12, 2025",25026329,5/12/25,4:17 PM,Robbery,"Somerville Police responded to Glen St for an unarmed robbery. Upon arrival, officers spoke with the victim who stated he was sitting in the area of the Capuano School and was approached by two males. The males began talking to him then one of them grabbed his necklace and both suspects fled the area."
"Crime Log May 6 to May 12, 2025",25026340,5/12/25,5:01 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Garden Court for a past breaking and entering. Upon arrival, officers spoke with the victim who stated she observed her apartment door pried open then saw her living room in disarray. She reported multiple pieces of jewelry and gift cards were stolen."
"Crime Log May 6 to May 12, 2025",25026354,5/12/25,5:30 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Garden Court for a past breaking and entering. Upon arrival, officers spoke with the victim who stated her apartment was broken into and multiple pieces of jewelry and cash were stolen."
"Crime Log May 6 to May 12, 2025",25025674,5/9/25,2:03 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Franklin St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated his bicycle was stolen from inside his shed."
"Crime Log May 6 to May 12, 2025",25026279,5/12/25,12:19 PM,Residential Breaking and Entering,"Somerville Police responded to a residence on Alpine St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated his bicycle was stolen from his basement."
"Crime Log August 26 to September 1, 2025",25052648,8/27/25,4:04 AM,Commercial Breaking & Entering,"Somerville Police responded to a business on Lincoln St for a breaking and entering. Upon arrival, officers spoke with the owner who stated a male party entered the business and began rummaging through items. Nothing was reported missing."
"Crime Log August 26 to September 1, 2025",25052594,8/26/25,10:02 PM,Assault,"Somerville Police took a report regarding a past assault. The victim stated that while working with his boss, his boss threw a rock at him then tried to hit him with a hammer."
"Crime Log August 26 to September 1, 2025",25053555,8/30/25,5:51 PM,Assault,"Somerville Police responded to Autumn St & Broadway for a fight. Upon arrival, officers observed multiple juveniles fighting in the street. Officers confiscated a knife from one of the juveniles."
"Crime Log July 15 to July 21, 2025",25043372,7/22/25,9:30 PM,Shots Fired,Somerville Police responded to Grand Union Blvd in Assembly Row for a report of shots fired. Officers spoke with a male party who stated his vehicle was struck by multiple rounds of gunfire. Numerous shell casings were recovered. No injuries were reported.
"Crime Log July 15 to July 21, 2025",25040107,7/10/25,11:06 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Grove St for report of a past breaking and entering. Upon arrival, officer spoke with the victim who stated she left her home and when she returned, noticed the back door ajar and items in the bathroom were displaced. The victim also reported cash was stolen."
"Crime Log July 15 to July 21, 2025",25039326,7/8/25,12:01 AM,Arrest,"Somerville Police responded to a business on Broadway for report of a B&E. Upon arrival, officers spoke with the clerk who stated he received alarms indicating the front door was open. Surveillance footage showed a male party inside the business stealing various items. Officers were given a suspect description and located a male party nearby matching the description. He was placed under arrest."
"Crime Log July 15 to July 21, 2025",25035694,6/24/25,11:58 PM,Unarmed Robbery,"Somerville Police responded to Gilman St for report of an assault. Upon arrival, officers spoke with the victim who stated he was attacked by four males and one of them stole money from him."
"Crime Log July 15 to July 21, 2025",25034056,6/17/25,11:00 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Greenwood Terrace for a past breaking and entering. Upon arrival, officers spoke with the victim who stated two bicycles were missing from his enclosed porch."
"Crime Log August 12 to August 18, 2025",25049522,8/14/25,3:41 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Flint St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated a male party entered her shed and stole a tool."
"Crime Log August 12 to August 18, 2025",25049672,8/15/25,8:37 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Evergreen Ave for a past breaking and entering. Upon arrival, officers spoke with the victim who stated he left his apartment and when he returned, noticed his front door was kicked in. Nothing was reported missing."
"Crime Log August 12 to August 18, 2025",25049464,8/14/25,11:20 AM,Residential Breaking & Entering,"Somerville Police responded to a residence on Adam St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated someone broke the glass door to the apartments. Nothing was reported missing."
"Crime Log August 12 to August 18, 2025",25049030,8/12/25,8:43 PM,Robbery,"Somerville Police responded to the Cambridge Hospital to speak with a victim of a robbery. Upon arrival, the victim stated he was in Davis Sq and was approached by two males who demanded money then attacked him. The suspects stole his phone and cash. Officers identified the suspects."
"Crime Log August 12 to August 18, 2025",25049020,8/12/25,7:56 PM,Assault,"Somerville Police responded to Bromfield Rd for a weapons call. Upon arrival, officers spoke with the victim who stated she was walking down Warner St and was shot with an airsoft gun by a passing vehicle. No injuries were reported. Officers identified the suspect."
"Crime Log August 12 to August 18, 2025",25050007,8/16/25,2:33 PM,Assault,"Somerville Police responded to a business in Assembly Row for a larceny. Upon arrival, officers spoke with an employee who stated a male party entered the store and proceeded to steal several items. The male then pushed the employee and threw items at her."
"Crime Log August 12 to August 18, 2025",25049819,8/15/25,6:36 PM,Assault,"Somerville Police took a report from a female party regarding a past assault. She stated that while in Davis Sq with her child, a male smashed a bottle on the ground and shards of glass cut her child."
"Crime Log August 12 to August 18, 2025",25050175,8/17/25,4:52 AM,Assault,"Somerville Police responded to an apartment complex on Broadway for a past assault. Upon arrival, officers spoke with the victim who stated he was smoking a cigarette in the basement and was attacked by four females and two males."
"Crime Log August 12 to August 18, 2025",25050446,8/18/25,11:44 AM,Arrest,"Somerville Police responded to a hotel on Somerville Ave after a housekeeper located drugs inside a room. While officers were talking with staff, the guests returned to the room. Officers then entered the room and observed two males inside. Officers recovered 48 grams of methamphetamine and 14 grams of crack cocaine. Both male parties were placed under arrest."
"Crime Log September 9 to September 15, 2025",25056584,9/11/25,6:13 PM,Assault,"Somerville Police responded to a business in Assembly Row for a dispute. Upon arrival, officers spoke with the victim who stated a female party came into the store and proceeded to shoplift. When the victim confronted her, the suspect assaulted her. The suspect then called her son to the store and he began attacking the victim as well."
"Crime Log September 9 to September 15, 2025",25056031,9/9/25,3:11 PM,Residential Breaking & Entering,"Somerville Police responded to a residence on Highland Ave for a breaking and entering. Upon arrival, officers spoke with the victim who stated he left his apartment and when he returned, noticed his wallet was missing."
"Crime Log September 9 to September 15, 2025",25056042,9/9/25,4:17 PM,Arrest,"Somerville Police responded to a residence on Gilman St for a suspicious person. Upon arrival, officers spoke with a neighbor who stated a male ran through his yard and into the driveway of a nearby house. Officers located the male party in the basement of the residence and he was placed under arrest."
"Crime Log September 9 to September 15, 2025",25057044,9/13/25,6:34 PM,Robbery,"Somerville Police responded to a business on Broadway for a robbery. Upon arrival, officers spoke with an employee who stated a male party came into the store and asked for cigarettes. When the clerk turned around, the suspect brandished a knife and demanded money in the register."
"Crime Log September 9 to September 15, 2025",25057018,9/13/25,4:38 PM,Assault,"Somerville Police responded to a parking garage in Assembly for an assault. Upon arrival, officers spoke with the victim who stated she honked her horn at a male party. After doing so, the male grabbed a bat from his car and approached the victim then left the area."
